pseudonym,honorific,last_name,first_name,alias,societaire_pensionnaire,dates
Abeille,Mademoiselle,Abeille,,,O,1742 (Mouhy)
Allard,Mademoiselle,,,,O,1783 (Registre)
Andasse,Mademoiselle,,,,O,1765 (Mouhy)
Armand,Monsieur,"Huguet (ou Haquet),  dit",François Armand,,S,1723-1724-1765
Armand,Mademoiselle,,,,O,1744 (Mouhy)
Armand fils,Monsieur,,,,O,1753 / 1759 / 1760 (Mouhy)
Armand jeune,Monsieur,"Huguet, dit",,,P,1770-1773
Aubert,Mademoiselle,,,,S,[1712]-1721-1722
Aufresne,Monsieur,"Rival, dit",Jean,,S,1765-1765-1765
Augé,Monsieur,Augé,François,Auger,S,1763-1763-1782
Auguste,Mademoiselle,,,,O,1773 (Mouhy)
Auvray,Monsieur,,,,O,1782 (Registre)
Bailly,Monsieur,,,,O,1784 (Registre)
Balicourt (de),Mademoiselle,"Baucourt (de) ou de Balicourt, dite",Marguerite-Marie-Thérèse-Elisabeth,,S,1727-1728-1738
Banières,Monsieur,,,dit Le Toulousain,O,1729 (Mouhy)
Baptiste aîné,Monsieur,"Anselme, dit",Nicolas-Eustache,,S,1793-1799-1828
Baptiste cadet,Monsieur,"Anselme, dit",Paul-Eustache,,S,1792-1799-1822
Barnault,Mademoiselle,,,,O,1758 (Mouhy)
Barnaut,Monsieur,,,,O,1754 (Mouhy)
Baron,Monsieur,"Boyron, dit",Michel,,S,1670-1680-1729
Baron (1),Mademoiselle,"Le Noir de la Thorilliere, dite",Charlotte,,S,1673-1680-1729
Baron (2),Mademoiselle,"Boyron, parfois dite mademoiselle des Brosses, dite",Louise-Charlotte-Catherine,Brosses (des) / Desbrosses,S,1729-1729-1742
Baron (3),Mademoiselle,,,,O,1767 (Mouhy)
Baron fils,Monsieur,"Boyron, dit",Etienne-Michel,,S,1695-1695-1711
Baron petit-fils,Monsieur,"Boyron, dit",François,,S,1741-1741-1754
Barré,Mademoiselle,,,,O,1773 (Mouhy)
Barroy,Monsieur,,,,O,1741 (Registre)
Beaubour,Mademoiselle,"Pitel, dite mademoiselle Bertrand, puis mademoiselle Beauval, puis",Louise,Beauval,S,1684-1685-1718
Beaubour,Monsieur,"Trochon, sieur de Beaubour, dit",Pierre,Beaubourg,S,1691-1692-1718
Beaubrillant,Monsieur,,,,O,1757 / 1758 (Mouhy)
Beaugrand fils,Monsieur,,,,O,1775 (Mouhy)
Beauval,Monsieur,"Pitel, sieur de Beauval, dit",Jean,,S,1670-1680-1704
Beauval,Mademoiselle,"Bourguignon, épouse Pitel, dite",Jeanne-Olivier,,S,1670-1680-1704
Belissen,Monsieur,,,,P,1757 (Mouhy) ; 1772
Bellecour,Mademoiselle,"Le Roy de La Corbinaye, épouse Colson, d'abord dite mademoiselle Beaumenard, puis",Rose-Perrine,Beaumenard,S,1749-1749-1791
Bellecour,Monsieur,"Colson, dit",Jean-Claude-Gilles,,S,1750-1752-1778
Bellemont,Monsieur,"Colbert de Beaulieu, dit",Jean-Baptiste,Belmont,S,1765-1778-1801
Belletour,Monsieur,,,,O,1708 (Parfaict)
Bercaville,Mademoiselle,"Sabatier, épouse Bercaville",Julienne-Nicole,Julie,O,1741
Bercy,Monsieur,"Drouin de Bercy, dit",Charles,,S,1728-1729-1733
Bernardi,Mademoiselle,,,Bernardy,O,1784 (Registre)
Bernaut,Monsieur,"Crescent de Bernaut, dit",François-Hyacinthe Guillain,,S,1754-1760-1762
Bernaut,Mademoiselle,,,,P,1760-1761
Bernaut Fleury,Monsieur,,,Fleury Bernaut,O,1771 (Mouhy)
Biet,Monsieur,Biet,Charles,,O,1692 (Parfaict)
Blainville,Monsieur,"Fromentin de Blainville, dit",Pierre-Jean,,S,1757-1758-1765
Blainville fils,Monsieur,,,,O,1765 (Mouhy)
Boisemont,Monsieur,,,,O,1757 (Mouhy)
Boissy,Monsieur,,,,P,1784
Boncourt,Mademoiselle,"Biet, épouse Hillaret, dite",Marie,,O,1693 (Mongrédien ; Mouhy)
Bonioli,Mademoiselle,"Barrie de Fonpré, épouse Joseph Bonioli, dite",Marie-Antoinette,Bognoli,P,1769-1777
Bonioli fils,Monsieur,Bonioli,Jean-Baptiste ou Jean-Jacques,Bognoli,P,1770-1774
Bonneuil,Monsieur,,,,O,1712 (Parfaict)
Bonneval,Monsieur,"Gimat de Bonneval, dit",Jean-Baptiste Jacques,,S,1741-1742-1773
Boulard,Monsieur,,,,O,1786 (Registre)
Bourc,Monsieur,,,Bourg,O,1752 (Mouhy ; registre 12 avril)
Bouret,Monsieur,Bouret,Antoine-Claude,,S,1762-1764-1783
Boursault,Monsieur,,,,O,1778 (Mouhy)
Brécourt,Monsieur,"Marcoureau (ou Moreau), sieur de Brécourt, dit",Guillaume,,S,1660-1682-1685
Brie (de),Mademoiselle,"Le Clerc du Rozet, dite",Catherine,,S,1658-1680-1685
Brillant,Mademoiselle,"Le Maignen Baro, dite",Marie-Jeanne,,S,1750-1750-1758
Brizard,Monsieur,"Britard, dit",Jean-Baptiste,,S,1757-1758-1786
