 id  |                             title                             |                                 author                                 |                  genre                   
-----+---------------------------------------------------------------+------------------------------------------------------------------------+------------------------------------------
  24 | Eugénie                                                       | Pierre-Augustin Caron de Beaumarchais                                  | drame
 742 | Les Barmécides                                                | Jean-François de La Harpe                                              | tragédie
 743 | Les funérailles de Crispin                                    |                                                                        | comédie
  61 | L'Indiscret                                                   | François-Marie Arouet dit Voltaire                                     | comédie
 175 | Nanine, ou le préjugé vaincu                                  | François-Marie Arouet dit Voltaire                                     | comédie
  43 | L'Enfant prodigue ou L'Ecole de la jeunesse                   | François-Marie Arouet dit Voltaire                                     | comédie
 739 | Les Dehors trompeurs, ou l'Homme du Jour                      | Louis de Boissy dit Bonnefoy                                           | comédie
   3 | Albert Ier ou Adeline                                         | Antoine Blanc                                                          | comédie
  68 | La Famille extravagante                                       | Marc-Antoine Legrand / Le Grand                                        | comédie
   9 | Attendez-moi sous l’orme                                      | Jean-François Regnard                                                  | comédie
 735 | L'Amant Bourru                                                | Monvel                                                                 | comédie
 741 | Malheureux imaginaire                                         | Claude-Joseph Dorat                                                    | comédie
 744 | Bourru bienfaisant                                            | Carlo Goldoni                                                          | comédie
 740 | Roméo et Juliette                                             | Ducis                                                                  | tragédie
 745 | Dom Japhet d'Arménie                                          | Paul Scarron                                                           | comédie
   6 | Andromaque                                                    | Jean Racine                                                            | tragédie
   1 | Adélaïde de Hongrie                                           | Claude-Joseph Dorat                                                    | tragédie
   7 | Ariane                                                        | Thomas Corneille                                                       | tragédie
   8 | Athalie                                                       | Jean Racine                                                            | tragédie
  10 | Bajazet                                                       | Jean Racine                                                            | tragédie
  11 | Britannicus                                                   | Jean Racine                                                            | tragédie
  13 | Cinna ou la Clémence dAuguste                                 | Pierre Corneille                                                       | tragédie
  19 | Didon                                                         | Jean-Jacques le Franc de Pompignan                                     | tragédie
  22 | Electre                                                       | Prosper Jolyot de Crébillon                                            | tragédie
 746 | Les Graces                                                    |                                                                        | 
 747 | Artaxerce                                                     | Antoine-Marin Lemierre                                                 | Tragédie 
 748 | L'Avare                                                       | Jean-Baptiste Poquelin dit Molière                                     | comédie en 5 actes
 749 | l'Ecossaise                                                   | Voltaire                                                               | Comédie
  25 | Gaston et Bayard                                              | Pierre-Laurent Buirette                                                | tragédie
 750 | Dupuis et Des Ronais                                          | Collé                                                                  | Comédie en trois actes
   5 | Amphitryon                                                    | Jean-Baptiste Poquelin dit Molière                                     | comédie
  20 | Dom Juan ou Le Festin de Pierre                               | Jean-Baptiste Poquelin dit Molière                                     | comédie
 751 | Les Soubrettes                                                | Laujon                                                                 | comédie en 5 actes
 154 | Les Femmes savantes                                           | Jean-Baptiste Poquelin dit Molière                                     | comédie
 156 | Les Fourberies de Scapin                                      | Jean-Baptiste Poquelin dit Molière                                     | comédie
 162 | Les Précieuses ridicules                                      | Jean-Baptiste Poquelin dit Molière                                     | comédie
 752 | Les Soubrettes                                                | Laujon                                                                 | comédie en 5 actes
  41 | L'Ecole des maris                                             | Jean-Baptiste Poquelin dit Molière                                     | comédie
 753 | Les Soubrettes                                                | Laujon                                                                 | comédie en 5 actes
 253 | Avare                                                         | Jean-Baptiste Poquelin dit Molière                                     | comédie
 756 | L'Etourderie                                                  | Christophe-Barthélémy Fagan de Lugny                                   | Comédie
 280 | L'Amour médecin                                               | Jean-Baptiste Poquelin dit Molière                                     | comédie
 757 | Sertorius                                                     | Pierre Corneille                                                       | Tragédie
  26 | Gustave Wasa                                                  | Alexis Piron                                                           | tragédie
