title,author,genre,prologue,acts,prose_vers,musique_danse_machine
"Aben-Saïd, empereur des Mogols",Leblanc (abbé Jean-Bernard),tragédie,0,5,vers,0
Achille dans l'île de Scyros,Merville (Michel Guyot de),comédie héroïque,0,3,vers,0
"Adherbal, roi de Numibie",La Grange-Chancel (Joseph de),tragédie,0,5,vers,0
Adrien,Campistron (Jean-Galbert de),tragédie,0,5,vers,0
Aégiste,Séguineau (Mr) ; Pralard (René),tragédie,0,5,vers,0
Aétius,Campistron (Jean-Galbert de),tragédie,0,5,vers,0
Agamemnon,Quinault (Philippe),tragédie,0,5,vers,0
Agathocle,Aubry des Carrières (Jean-Baptiste),tragédie,0,5,vers,0
Agrippa ou la mort d'Auguste,Riupeirous (Théodore),tragédie,0,5,vers,0
Ajax,La Chapelle (Jean de),tragédie,0,5,vers,0
Alceste,La Grange-Chancel (Joseph de),tragédie,0,5,vers,0
Alceste et Admète,Boissy (Louis de),tragédie,0,5,vers,0
Alcibiade,Poisson (Philippe),comédie,0,3,vers,0
Alcibiade,Campistron (Jean-Galbert de),tragédie,0,5,vers,0
Alexandre le Grand,Racine (Jean),tragédie,0,5,vers,0
Amalasonte,Quinault (Philippe),tragédie,0,5,vers,0
Amour secret,Poisson (Philippe),comédie,0,1,vers,0
Andromède,Corneille (Pierre),tragédie,1,5,vers,0
Angélique et Médor,Dancourt (Florent Carton dit),comédie,0,1,prose,0
Annibal,Riupeirous (Théodore),tragédie,0,5,vers,0
Antigone,"Boyer (Claude, abbé) pseud : Pader d'Assézan",tragédie,0,5,vers,0
Antiochus et Cléopâtre,Deschamps (François-Michel-Chrétien),tragédie,0,5,vers,0
Antiochus ou Les Macchabées,Nadal (abbé Augustin),tragédie,0,5,vers,0
Argésilas,Corneille (Pierre),tragédie,0,5,vers,0
Ariarathe,Saint-Gilles (Lenfant de),tragédie,0,5,vers,0
Aristobule,"Abeille (Gaspard, abbé) ",tragédie,0,5,vers,0
Arminius,Campistron (Jean-Galbert de),tragédie,0,5,vers,0
Arrie et Pétus,"Barbier (Marie Anne, Mlle)",tragédie,0,5,vers,0
Artaxare,Pellegrin (Simon-Joseph),tragédie,0,5,vers,0
Artaxerce,"Boyer (Claude, abbé) ",tragédie,0,5,vers,0
Artaxerce,Deschamps (François-Michel-Chrétien),tragédie,0,5,vers,0
Artémire,Voltaire (François-Marie Arouet dit),tragédie,0,5,vers,0
Aspar,Fontenelle (Bernard le Bouvier de),tragédie,0,5,vers,0
Athénaïs,La Grange-Chancel (Joseph de),tragédie,0,5,vers,0
"Attila, roi des Huns",Corneille (Pierre),tragédie,0,5,vers,0
Bajazet premier,Pacarony (Chevalier de),tragédie,0,5,vers,0
Basile et Quitterie,Gaultier,tragi-comédie,1,3,vers,0
Bellérophon,Quinault (Philippe),tragédie,0,5,vers,0
Bradamante,Corneille (Thomas),tragédie,0,5,vers,0
Brutus,Bernard (Catherine),tragédie,0,5,vers,0
Callisthène,Piron (Alexis),tragédie,0,5,vers,0
"Camma, reine de Galatie",Corneille (Thomas),tragédie,0,5,vers,0
Cartouche ou les Voleurs,Le Grand (Marc-Antoine),comédie,0,3,prose,0
Cassius et Victorinus martyrs,La Grange-Chancel (Joseph de),tragédie,0,5,vers,0
Caton d'Utique,Deschamps (François-Michel-Chrétien),tragédie,0,5,vers,0
Céphale et Procris,Dancourt (Florent Carton dit),comédie,1,3,vers,0
Childéric,Morand (Pierre de),tragédie,0,5,vers,0
"Cléarque, tyran d'Héraclée","Gomez (Madeleine-Angélique, Mme de)",tragédie,0,5,vers,0
Cléopâtre,La Chapelle (Jean de),tragédie,0,5,vers,0
Corésus et Callirhoé,La Fosse (Antoine de La Fosse d'Aubigny dit),tragédie,0,5,vers,0
Coriolan,Anonyme,tragédie,0,5,vers,0
Coriolan,Chaligny des Plaines (François de),tragédie,0,5,vers,0
Cornélie mère des Gracques,"Barbier (Marie Anne, Mlle )",tragédie,0,5,vers,0
Cornélie vestale,Hénaut (Charles-Jean-François),tragédie,0,5,vers,0
Cosroès,Rotrou (Jean de) ; d'Ussé (Bernin de Valentine),tragédie,0,5,vers,0
Crispin musicien,Hauteroche (Noël Lebreton de),comédie,0,5,vers,0
Cyrus,Danchet (Antoine),tragédie,0,5,vers,0
Danaé ou Jupiter Crispin,La Font (Joseph de),comédie,1,1,vers,0
Demetrius,Aubry des Carrières (Jean-Baptiste),tragédie,0,5,vers,0
Don Bertrand de Cigaral,Corneille (Thomas),comédie,0,5,vers,0
Don César Ursin,Lesage (Alain-René),comédie,0,5,prose,0
Don Ramire et Zaïde,La Chazette ; Boissy (Louis de),tragédie,0,5,vers,0
Édouard III,Gresset (Jean-Baptiste-Louis),tragédie,0,5,vers,0
Électre,Longepierre (Hilaire-Bernard de),tragédie,0,5,vers,0
Endymion,Anonyme,tragédie,0,5,vers,0
Érigone,La Grange-Chancel (Joseph de),tragédie,0,5,vers,0
Ériphile,Voltaire (François-Marie Arouet dit),tragédie,0,5,vers,0
Ésope au Parnasse,Pesselier (Charles-Étienne),comédie,0,1,vers,0
Frontin gouverneur,Anonyme,comédie,0,1,0,0
Gabinie,Brueys (David-Augustin de),tragédie,0,5,vers,0
Germanicus,Pradon (Jacques),tragédie,0,5,vers,0
Géta,Péchantré (Nicolas de),tragédie,0,5,vers,0
Habis,"Gomez (Madeleine-Angélique, Mme de)",tragédie,0,5,vers,0
Hercule,"La Tuillerie (Jean-François Juvenon, sieur de)",tragédie,0,5,vers,0
Hercule et Omphale,Palaprat (Jean),comédie,0,5,vers,0
Hérode,Nadal (abbé Augustin),tragédie,0,5,vers,0
Héroïne,Anonyme,comédie,0,1,0,0
Idoménée,Crébillon père (Prosper Jolyot de Crébillon dit),tragédie,0,5,vers,0
Je vous prends sans verd,"La Fontaine (Jean de) ; Champmeslé (Charles Chevillet dit)",comédie,0,1,vers,0
Joconde,Fagan (Christophe-Barthélémy Fagan de Lugny dit),comédie,0,1,prose,0
Jonathas,Duché de Vancy (Joseph-François),tragédie,0,3,vers,0
Joseph,Genest (Charles-Claude abbé),tragédie,0,5,vers,0
Judith,"Boyer (Claude, abbé) ",tragédie,0,5,vers,0
Jugurtha,Palaprat (Jean),tragédie,0,5,vers,0
L'Accommodement imprévu,La Grange (Nicolas de),comédie,0,1,vers,0
L'Amant de sa femme ou la Rivale d'elle-même,Boissy (Louis de),comédie,0,1,prose,0
L'Amant indiscret ou le Maître étourdi,Quinault (Philippe),comédie,0,5,vers,0
L'Amant masqué,Dufresny (Charles Rivière),comédie,0,1,prose,0
L'Amante amant,Campistron (Jean-Galbert de),comédie,0,5,prose,0
L'Amante en tutelle,La Valette,comédie,1,3,vers,0
L'Amitié rivale de l'amour,Fagan (Christophe Barthélémy Fagan de Lugny dit),comédie,0,5,vers,0
L'Amour vengé,La Font (Joseph de),comédie,0,1,vers,0
L'Après-souper des auberges,Poisson (Raymond),comédie,0,1,vers,0
L'Assemblée des comédiens,Procope-Couteaux (Michel),prologue,1,1,0,0
L'Aventurière,De Visé (Jean Donneau),comédie,0,5,vers,0
L'Avocat sans étude,"Rosimond (Claude La Roze, sieur de) ",comédie,0,1,vers,0
L'Éclipse,Dancourt (Florent Carton dit),comédie,0,1,prose,0
L'École de l'hymen,Pellegrin (Simon-Joseph),comédie,1,3,prose / vers,0
L'École des amants,Jolly (François-Antoine),comédie,0,3,vers,0
L'École des jaloux ou le Cocu volontaire,Montfleury (Antoine Jacob),comédie,0,3,vers,0
