id,title,author,genre,prologue,acts,prose_vers,musique_danse_machine
5760,Carosses d'Orléans (Les),La Chapelle (Jean de),comédie,FALSE,1,prose,FALSE,
5247,Carosses d'Orléans (Les),La Chapelle (Jean de),comédie,FALSE,1,prose,FALSE,
5670,Chevalier à la mode (Le),Dancourt (Florent Carton dit),comédie,FALSE,5,prose,FALSE,26 SEPTEMBRE 1772
5081,Chevalier à la mode (Le),Dancourt (Florent Carton dit),comédie,FALSE,5,prose,FALSE,26 SEPTEMBRE 1772
5087,Cocher supposé (Le),"Hauteroche (Noël Lebreton, sieur de)",comédie,FALSE,1,prose,FALSE,
5673,Cocher supposé (Le),"Hauteroche (Noël Lebreton, sieur de)",comédie,FALSE,1,prose,FALSE,
4969,Comtesse d'Orgueil (La),Corneille (Thomas),comédie,FALSE,5,vers,FALSE,
5589,Comtesse d'Orgueil (La),Corneille (Thomas),comédie,FALSE,5,vers,FALSE,
18,Démocrite amoureux,Regnard (Jean-François),comédie,FALSE,5,vers,FALSE,
900,Démocrite amoureux,Regnard (Jean-François),comédie,FALSE,5,vers,FALSE,
4909,Démocrite amoureux,Regnard (Jean-François),comédie,FALSE,5,vers,FALSE,
5315,Esprit de contradiction (L'),Du Fresny (Charles),comédie,FALSE,1,prose,FALSE,
1350,Esprit de contradiction (L'),Du Fresny (Charles),comédie,FALSE,1,prose,FALSE,
5317,Été des coquettes (L'),Dancourt (Florent Carton dit),comédie,FALSE,1,prose,FALSE,22 FEVRIER 1684
5560,Été des coquettes (L'),Dancourt (Florent Carton dit),comédie,FALSE,1,prose,FALSE,22 FEVRIER 1684
5571,Inconnu (L'),Corneille (Thomas),comédie,TRUE,5,vers,TRUE,9 AVRIL 1782
5451,Inconnu (L'),Corneille (Thomas),comédie,TRUE,5,vers,TRUE,9 AVRIL 1782
5435,Inconnu (L'),Corneille (Thomas),comédie,TRUE,5,vers,TRUE,9 AVRIL 1782
5285,Méprises (Les),"Rousseau (Pierre, de Toulouse)",comédie,FALSE,1,vers libres,TRUE,
3603,Méprises (Les),"Rousseau (Pierre, de Toulouse)",comédie,FALSE,1,vers libres,TRUE,
5819,Pénélope,Genest (Charles-Claude),tragédie,FALSE,5,vers,FALSE,
5394,Pénélope,Genest (Charles-Claude),tragédie,FALSE,5,vers,FALSE,
5022,Pupille (La ),Fagan (Barthélemy-Christophe),comédie,FALSE,1,prose,TRUE,
1344,Pupille (La ),Fagan (Barthélemy-Christophe),comédie,FALSE,1,prose,TRUE,
5419,Scévole,Du Ryer (Pierre),tragédie,FALSE,5,vers,FALSE,
5837,Scévole,Du Ryer (Pierre),tragédie,FALSE,5,vers,FALSE,
5204,Triple mariage (Le),Destouches,comédie,FALSE,1,prose,TRUE,
1346,Triple mariage (Le),Destouches,comédie,FALSE,1,prose,TRUE,
5303,Trois cousines (Les),Dancourt (Florent Carton dit),comédie,TRUE,3,prose,TRUE,7 JUILLET 1716
1347,Trois cousines (Les),Dancourt (Florent Carton dit),comédie,TRUE,3,prose,TRUE,7 JUILLET 1716
1345,Trois frères rivaux (Les),La Font (Joseph de),comédie,FALSE,1,vers,FALSE,20 DECEMBRE 1754
1345,Trois frères rivaux (Les),La Font (Joseph de),comédie,FALSE,1,vers,FALSE,20 DECEMBRE 1754
5206,Tuteur amoureux (Le) ou Le Tuteur,Dancourt (Florent Carton dit),comédie,FALSE,1,prose,FALSE,11 mars 1754
5207,Tuteur amoureux (Le) ou Le Tuteur,Dancourt (Florent Carton dit),comédie,FALSE,1,prose,FALSE,11 mars 1754
