id,title,author,genre ,Prologue,nombre d'actes,Prose/vers,"Musique, danse, machines",Date de création
4832,Abdir,Billardon de Sauvigny (Edme-Louis),drame,,4 puis 3,vers,,1785-01-26
4833,Abdolonime ou le Roi berger,Collet de Messine (Jean-Baptiste),comédie héroïque,,3,vers,,1776-03-06
5452,"Aben-Saïd, empereur des Mogols","Leblanc (Jean-Bernard, abbé)",tragédie,,5 actes,vers,,06 juin 1735
4834,Absalon,Duché de Vancy (Joseph-François),tragédie,,5,vers,,1712-04-07
5536,Accommodement imprévu (L'),La Grange-Chancel (François-Joseph de),comédie,,1 acte,vers,,12 novembre 1737
5453,Achille dans l'île de Scyros,Merville (Michel Guyot de),comédie héroïque,,3 actes,vers,,10 octobre 1737
5748,Acteurs déplacés ou l'Amant comédien (Les),L'Affichard (Thomas),comédie,X,1 acte,prose,X,14 OCTOBRE 1735
4835,Adélaïde de Hongrie,Dorat (Claude-Joseph),tragédie,,5,vers,,13 AOUT 1774
4836,Adélaïde du Guesclin,Voltaire (François-Marie Arouet dit),tragédie,,5,vers,,18 JANVIER 1734
4837,Adélaïde ou l'Antipathie pour l'amour ,Dudoyer de Gastels (Gérard),comédie,,2,vers décasyllabes,,10 JUILLET 1780
4838,Adèle de Crécy,Dercy (P.),drame ,,4,vers,,03 MAI 1793
4839,"Adèle de Ponthieu ou Adèle, comtesse de Ponthieu",La Place (Pierre-Antoine de),tragédie,,5,vers,,28 AVRIL 1757
5749,Adelphes ou L'École des pères (Les),Baron (Michel Boyron dit),comédie,,5 actes,vers,,03 JANV 1705
5454,"Adherbal, roi de Numidie",La Grange-Chancel (François-Joseph de),tragédie,,5 actes,vers,,08 JANV 1694
5235,Adieux du goût (Les),Patu (Claude-Pierre) ; Portelance (Michel),comédie,,1,vers libres,X,13 FEVRIER 1754
5455,Adrien,Campistron (Jean Galbert de),tragédie,,5 actes,vers,,11 JANV 1690
5456,Aégiste,Séguineau (Mr) ; Pralard (René),tragédie,,5 actes,vers,,18 NOV 1721
5457,Aétius,Campistron (Jean Galbert de),tragédie,,5 actes,vers,,28 JANV 1693
5458,Agamemnon ou  La Mort d'Agamemnon,"Boyer (Claude, abbé) pseud : Pader d'Assézan",tragédie,,5 actes,vers,,
4840,Agathocle,Voltaire (François-Marie Arouet dit),tragédie,,5,vers,,31 MAI 1779
5459,Agathocle ,"Aubry (Jean-Baptiste Aubry des Carrières, dit)",tragédie,,5 actes,vers,,10 MAI 1690
5475,Agésilas ,Corneille (Pierre),tragédie,,5 actes,vers,,
5750,Agioteurs (Les),Dancourt (Florent Carton dit),comédie,,3 actes,prose,,26 SEPT 1710
4841,Agis,Laignelot (Joseph François),tragédie,,5,vers,,6 MAI 1782
5460,Agrippa ou la mort d'Auguste,Riupeirous (Théodore),tragédie,,5 actes,vers,,19 MARS 1696
4842,"Agrippa, roi d'Albe ou le Faux Tiberinus",Quinault (Philippe),tragi-comédie,,5,vers,,
4843,Ajax,Poinsinet de Sivry (Louis),tragédie,,5,vers,,30 AOUT 1762
5461,Ajax,La Chapelle (Jean de),tragédie,,5 actes,vers,,27 DEC 1684
4844,Albert et Émilie,Dubuisson (Pierre-Ulric),tragédie,,5,vers,,30 AVRIL 1785
4845,Albert premier ou Adeline,Le Blanc de Guillet (Antoine),comédie héroïque,,3,vers,,4 FEV 1775
5462,Alceste,La Grange-Chancel (François-Joseph de),tragédie,,5 actes,vers,,19 DEC 1703
5463,Alceste et Admète,Boissy (Louis de),tragédie,,5 actes,vers,,25 JANV 1727
5464,Alcibiade,Poisson (Philippe),comédie,,3 actes,vers,,23 FEV 1731
5465,Alcibiade ,Campistron (Jean Galbert de),tragédie,,5 actes,vers,,28 DEC 1685
4846,Alcidonis ou la Journée lacédémonienne,Lonvay de La Saussaye (Jean-Baptiste),comédie,,3,prose,x,13 MARS 1773
5466,Alexandre le Grand,Racine (Jean),tragédie,,5 actes,vers,,
5038,Algérien ou les Muses comédiennes (L'),Cahusac (Louis de),comédie-ballet,x,3,vers libres,X,
4847,Alphée et Zarine,Fallet (Nicolas),tragédie,,5,vers,,19 JUIN 1788
4848,Alzaïde,Linant (Nicolas-Michel),tragédie,,5,vers,,13 DECEMBRE 1745
4849,Alzire ou les Américains,Voltaire (François-Marie Arouet dit),tragédie,,5,vers,,27 JANV 1736
