id,title,author,genre,Prologue,nombre d'actes,Prose/vers,"Musique, danse, machine"
1,Abdir,Sauvigny (Edme-Louis Billardon de),drame,,4,vers,
2,Abdolonyme ou le roi berger,Collet (Jean-Baptiste Collet de Messine dit),comédie héroïque,,3,vers,
3,Absalon,Duché de Vancy (Joseph François),tragédie,,5,vers,
4,Adélaïde de Hongrie,Dorat (Claude-Joseph),tragédie,,5,vers,
5,Adélaïde du Guesclin,Voltaire (François-Marie Arouet dit ),tragédie,,5,vers,
6,Adélaïde ou l'Antipathie pour l'amour ,Dudoyer de Gastels (Gérard),comédie,,2,vers décasyllabes,
7,Adèle de Crécy,Dercy (G. Palat dit),drame ,,4,vers,
8,Adèle de Ponthieu,La Place (Pierre-Antoine de),tragédie,,5,vers,
9,Agathocle,Voltaire (François-Marie Arouet dit ),tragédie,,5,vers,
10,Agis,Laignelot (Joseph-François),tragédie,,5,vers,
11,"Agrippa, roi d'Albe ou le Faux Tiberinus",Quinault (Philippe),tragi-comédie,,5,vers,
12,Ajax,Poissinet de Sivry (Louis),tragédie,,5,vers,
13,Albert et Émilie,Dubuisson (Paul-Ulric),tragédie,,5,vers,
14,Albert Ier ou Adeline,Leblanc de Guillet (Antoine Blanc dit),comédie héroïque,,3,vers,
15,Alcidonis ou la journée Lacédémonienne,Lonvay de la Saussaye (J.B.); Baudron (Antoine-Laurent),comédie,,3,prose,x
16,Alphée et Zarine,Fallet (Nicolas),tragédie,,5,vers,
17,Alzaïde,Linant (Michel),tragédie,,5,vers,
18,Alzire ou les Américains,Voltaire (François-Marie Arouet dit ),tragédie,,5,vers,
19,Amalasonte,"Ximénès (Augustin-Louis, marquis de)",tragédie,,5,vers,
20,Amasis,La Grange-Chancelle (Joseph de),tragédie,,5,vers,
21,Amélie ou le Duc de Foix (dite Le Duc de Foix),Voltaire (François-Marie Arouet dit ),tragédie,,5,vers,
22,Amélise,Ducis (Jean-François),tragédie,,5,vers,
23,Aménophis,Saurin (Bernard-Joseph),tragédie,,5,vers,
24,Amestris,Mauger,tragédie,,5,vers,
25,Amour pour amour,La Chaussée (Pierre-Claude Nivelle de),comédie,x,3,vers,
26,Amphitryon,Molière (Jean-Baptiste Poquelin dit) ,comédie,x,3,vers libres,
27,Andromaque,Racine (Jean),tragédie,,5,vers,
28,Andronic,Campistron (Jean-Galbert de) ,tragédie,,5,vers,
29,Annibal,Marivaux (Pierre Carlet de Chamblain de),tragédie,,5,vers,
30,Antigone ou la Piété fraternelle,Doigny du Ponceau,tragédie,,5,vers,
31,Antipater,Portelance (François de),tragédie,,5,vers,
32,Apelle et Campaspe,Voiron,pièce héroïque ,,1,vers,x
33,Aphos,Baragué,comédie,,1,vers libres,
34,Ariane,Corneille (Thomas),tragédie,,5,vers,
35,Aristomène,Marmontel (Jean-François) ,tragédie,,5,vers,
36,Artaxerce,Lemierre (Antoine-Marin) ,tragédie,,5,vers,
37,Astarbé,Colardeau (Charles-Pierre),tragédie,,5,vers,
38,"Astrate, roi de Tyr",Quinault (Philippe),tragédie,,5,vers,
39,Astyanax,Châteaubrun (Jean-Baptiste Vivien de),tragédie,,5,vers,
40,Astyanax,Richerolle d'Avalon,tragédie,,5,vers,
41,Athalie,Racine (Jean),tragédie,,5,vers,
42,Atoine et Cléopâtre ,Boistel d'Welles (Jean-Baptiste Robert),tragédie,,5,vers,
