people_id,rp_newactor_name
317,Dme [Allard]
317,Mlle Allard
318,Mlle Andasse
320,Mlle Armand
321,Sieur Armand fils
321,Sieur Armand fils
324,Sieur Aufresne
325,Augé
325,Sieur Augé
326,Melle Auguste
327,Auvray
327,M. Auvray
328,Bailly
334,M.Barnau
346,Beaugrand
349,M. Belissen
349,Sieur Bellisin
356,Dame Bernardi
356,Dme Bernardi
356,Dme Bernardy
356,Mlle Bernardi
357,Mlle Benaut
358,Mlle Bernaule
358,Mlle Bernault
358,Mlle bernaut
358,Mlle Bernaut
364,Boissy
364,S. Boissy
366,Mademoiselle Boguioli
366,Mademoiselle Bonioli
366,Mademoiselle Bonioli
366,Mademoiselle de Bonioli
370,S. Boulard
372,Bouret
376,Mlle Brillant
377,M. Brizard
380,Bursay,Louis Bruyas dit
382,Demoiselle Candeille
382,Dme Canveille
382,Dme Canveille?
390,Chanville
394,Chazel
394,S. Chazel
407,Dame Constance
410,Corcard
410,M Concard
412,sieur Courcelle
414,Mlle Courturier
415,Cretu
415,S. Cretu
416,Sieur d'Alainval
417,Dalainville
431,M. D'anisy
431,M. Danidy
431,M. Danisy
439,Dazincourt
442,Delatour
442,M. Delatour amateur
446,M. Descounoirs?
446,M. Descournoir?
446,M. Descournois?
451,M. Desmarais
451,Sieur Desmarais
460,Mr. Després
462,Demoiselle de Vienne
462,Dme de Vienne
462,Dme de Vienne?
464,Sieur Doisemont
464,Sieur Doisemont
465,Mlle Doligny
466,Mlle Dombre
467,Dorbigny
469,Mlle Dorcey
471,Dorfeuil
473,Doisemont
474,Mme Dorville
487,M. Du Verneuil
487,Sieur Du Verneuil
502,Sr Dufrenel
503,Dufrensy
503,Dufresny
504,Mlle Dugazon
504,Mlle. Dugazon
512,Dunant
512,S. Dunant
514,Dupont
515,Mlle Durancy
518,Mlle Durand
518,Mme Durand
521,Dame d'Urfé
521,Dame Durfé
525,Dusaulx
527,Citoyen Duverger
527,Le citoyen Duverger
527,Le Citoyen Duverger
529,Des Essarts
530,Mlle Fanier
532,Dme Felix
532,Mlle Felix
533,Dme [Feuchere]
533,Mlle Feuchere
534,Feulie
549,Fromentin
552,Dme [DeGarcins]
552,Dme [Garcius]
552,Dme De[Garcins]
552,Dme De[Garcius]
561,Gayot
562,S. Gerard
563,Gernevalde
563,S. Gernavalde
564,Dme Giverne
566,Sieur Goyon
567,Grammont de Roselly
567,S. Grammont
567,S. Grammont de Rozelli
567,S. Grammous
568,Grandmesnil
568,Grandmesnil,De Vigny
585,Mlle Hus
587,Dame Jolly
587,Dame Joly
587,Dme Jolly
587,Dme Joly
587,Joly
587,Mlle Joly
595,Dme [LaCave]
595,Mlle LaCave
600,Dame La Croisette
600,Dame La Croisette;
600,La Croizette
603,Lahaye
603,Sieur de la Haye
606,M Delarive
606,M. Delarive
606,Sieur de Larive
606,sieur Larive
606,Sieur Larive
607,La Roche
608,LaRochelle
608,M. LaRochelle
609,Lasozilliere
609,Sieur La Soziniere
613,Sieur de La Tour
613,Sieur La Tour
620,Dme La [Chaissagne]
620,Dme La [Chassaigne]
620,Mlle de la Chassaigne
620,Mlle de la Chataîgneraie
623,Dme [Lange]
624,Larive
624,Larive
626,Dme Laurent
627,Dme Lavau
627,Dme Lavau?
627,Lavauls
627,Mlle Laveau
635,Dme Le Clerc
635,Dme Leclerc
638,Dme. Le Clerc
643,Melle Le Roy
643,Mlle Le Roy
648,M. LeKain
648,M.Le Rain
654,Melle Luzy
654,Mlle Luzy
657,Dame Mars
658,Marsan
659,Marsy
663,Mercier
664,Mlle Mezcray
664,Mlle Mezeray
666,Melle Michelet
666,Mlle Michelet
669,Monsieur Moler
671,Sieur Montfoulon
674,Mlle Montagnthieu?
674,Mlle Montgathieu
674,Mlle Montgathieu?
674,S. Mongautier
676,Melle Montroze
678,Jacques-Marie Boutet de Monvel
678,Jacques-Marie Boutet de Monvel,dit Monvel
678,Jacques-Marie Boutet de Monvel,dit Monve
681,Le Sr Natte
682,[M. Naudet]
682,Naudet
687,Neuville
687,Sieur Neuville
688,Sieur Neveu
692,Dame Ollivier
693,Sieur Paillardel
693,Sieur Paillardelle
693,Sieur Painardelle
693,Sieur Piardelle
695,Sieur Pin
696,Demoiselle Pitrot
696,Melle Pitro
707,M. Preville
707,Mde Preville
719,Melle Rancourt
719,Mlle Rancourt
722,Raymond
723,Mr Ribou
727,Romainville
728,Mlle Rosalie
730,Rozelly
739,Saint-Fal
740,Mlle Saint-Gervais
741,Saint-Prix
742,Mlle Saint-Renée
747,Mlle Salanville
747,Salanville
747,Sanlaville
751,Sennepar
754,Melle Simiane
757,Soule
758,Madame Suin
759,Surville
761,S. Talma
762,Melle Tessier
764,Dame Thenard
764,Dme Thenard
764,Dme Thernard?
764,La Dme Thenard
764,Mlle Thénart
765,Du Tilleul
767,Citoyenne Turbot
768,La Dlle Vadé
769,Valeroy
774,Sier Velesne
774,Sier Vellesne
774,Sieur Velesne
774,Sieur Vellesne
775,Dme DeVernilly
775,Dme Vermigly
775,Dme Vermilly
775,Dme Vernilly
775,Mle De Vermilly
775,Mlle De Vermilly
775,Mlle Vermilly
775,Mlle Vernilly
776,M. Vernet
776,Vernet
776,Vernet
777,DuVerneuil
777,M. DuVerneuil
778,Mlle Verteuil
781,Madame Vestris
781,Madame Vestris
781,Melle Vestris
781,Mlle Vestris
781,Mlle Vestris
782,De Vigny
783,Sieur Vilette
