id,new id,title,author,genre,g2,g3
935,, ,Jean-François Cailhava d’Estendoux,,,
476,, ,Sauvigny,tragedie,,
1368,,,M. Duis,,,
856,, ,,,,
3611,,??,,,,
4511,,??,,,,
4104,1,Abdir,,,,
3513,1,Abdir,,,,
3850,1,Abdir,,,,
3495,1,Abdir - Sauvigny,,,,
4095,1,Abdir - Sauvigny,,,,
3832,1,Abdir - Sauvigny,,,,
3504,1,Abdir - Sauvigny,,,,
3838,1,Abdir - Sauvigny,,,,
4086,1,Abdir - Sauvigny,,,,
3501,1,Abdir - Sauvigny,,,,
3841,1,Abdir - Sauvigny,,,,
4092,1,Abdir - Sauvigny,,,,
396,2,Abdolonyme ou le roi berger,Jean-Baptiste Collet de Messine,comédie,,
1336,6,Adelaide ou l'anthipatie pour l'amour,Gérard Dudoyer de Gastels,Comédie,,
1,4,Adélaïde de Hongrie,Claude-Joseph Dorat,tragédie,,
874,5,Adélaïde du Guesclin,François-Marie d'Arouet,tragédie,,
2,5,Adélaïde du Guesclin,François-Marie Arouet dit Voltaire,tragédie,,
1135,6,Adélaïde ou l'Antipathie pour l'amour ,M. Gérard Dudoyer de Gastels,comédie,,
260,9,Agathocle,François-Marie Arouet dit Voltaire,tragédie,,
1568,10,Agis,,,,
1193,10,Agis,,,,
1188,10,Agis,,,,
1204,10,Agis,,,,
1196,10,Agis,,,,
1186,10,Agis,,,,
1185,10,Agis,,,,
1199,10,Agis,,,,
1202,10,Agis,,,,
1554,10,Agis,,,,
1555,10,Agis,,,,
1557,10,Agis,,,,
1210,10,Agis,,,,
1560,10,Agis,,,,
1562,10,Agis,,,,
1565,10,Agis,,,,
1208,10,Agis,,,,
1571,10,Agis,,,,
1572,10,Agis,,,,
1573,10,Agis,,,,
101,10,Agis,,,,
1579,10,Agis,,,,
1203,10,Agis,,,,
1191,10,Agis,,,,
3,14,Albert Ier ou Adeline,Antoine Blanc,comédie,,
3540,13,Albert et Emilie,M. Pierre-Ulric Du Buisson / Dubuisson,tragédie,,
4422,16,Alphée et Zarine,M. Nicolas Fallet,tragédie,,
4,18,Alzire ou les Américains,François-Marie Arouet dit Voltaire,tragédie,,
865,18,Alzire ou les Américains,François-Marie d'Arouet,tragédie,,
4128,25,Amour pour amour,Pierre-Claude Nivelle de La Chaussée ,comédie,,
5,26,Amphitryon ,Jean-Baptiste Poquelin dit Molière,comédie,,
901,26,Amphitryon ,Jean-Baptiste Poquelin ,comédie,,
814,26,Amphityrion,Jean-Baptiste Poquelin dit Molière,Comédie,,
6,27,Andromaque ,Jean Racine,tragédie,,
4380,30,Antigone ou la Piété fraternelle,M. Doigny Du Ponceau dit Un Citoyen de l'univers,tragédie,,
4278,32,Appelle et Campaspe,,,,
7,34,Ariane,Thomas Corneille,tragédie,,
238,571,Arlequin Pygmalion ou La Bague enchantée ,Arnaud Berquin; Jean-Jacques Rousseau,"musique, scène",,
747,36,Artaxerce,Antoine-Marin Lemierre ,Tragédie ,,
4464,40,Astyanax,M. Richerolle d'Avallon,tragédie,,
8,41,Athalie ,Jean Racine,tragédie,,
4782,41,Athalie avec les choeurs,,,,
4383,43,Atrée et Thyeste,Prosper Jolyot de Crébillon dit Crébillon père,tragédie,,
241,43,Atrée et Thyeste,Prosper Jolyot de Crébillon dit Crébillon père,tragédie,,
9,44,Attendez-moi sous l’orme,Jean-François Regnard,comédie,,
915,44,Attendez-moi sous l’orme,Jean-François Regnard,comédie,,
3557,,Au Proffit?,,,,
3585,,Au Proffit?,,,,
3571,,Au Proffit?,,,,
3537,,Au Proffit?,,,,
4385,45,Augusta ,M. Philippe-François-Nazaire Fabre dit Fabre d'Églantine ,tragédie,,
4477,46,Auguste et Théodore,,,,
4479,46,Auguste et Théodore,,,,
4480,46,Auguste et Théodore,,,,
4484,46,Auguste et Théodore,,,,
4483,46,Auguste et Théodore,,,,
4482,46,Auguste et Théodore,,,,
4481,46,Auguste et Théodore,,,,
4476,46,Auguste et Théodore ou Les Deux Pages,,,,
4486,46,Auguste et Théodore ou les Deux pages ,"M. Nicolas [Alexandre] Dezède, M. Louis-François Faur, Baron Ernest de Mantauffeld",comédie,,
4765,228,Avare,Jean-Baptiste Poquelin dit Molière,comédie,,
253,228,Avare,Jean-Baptiste Poquelin dit Molière,comédie,,
4281,47,Azemire ,,,,
4377,47,Azémire ,M. Marie-Joseph Chénier,tragédie,,
10,48,Bajazet ,Jean Racine,tragédie,,
4591,49,Barnevets? ,,,,
1653,50,Berenice,,,,
1648,50,Berenice,,,,
1645,50,Berenice,,,,
1277,50,Berenice,,,,
1280,50,Berenice,,,,
1286,50,Berenice,,,,
1051,51,Beverlei,Bernard-Joseph Saurin,tragédie,,
234,51,Beverlei,Bernard-Joseph Saurin,tragédie,,
784,51,Beverlei,Bernard-Joseph  Saurin ,Tragédie,,
393,52,Blanche et Guiscard,Bernard-Joseph Saurin,tragédie,,
764,52,Blanche et Guiscard,Bernard-Joseph  Saurin ,Tragédie,,
974,243,Bourru bienfaisant,Carlo Goldoni,comédie,,
744,243,Bourru bienfaisant,Carlo Goldoni,comédie,,
4370,53,Briséis ou la colère d'Achille ,M. Louis Poinsinet de Sivry,tragédie,,
11,54,Britannicus,Jean Racine,tragédie,,
906,55,Brutus,François-Marie d'Arouet,tragédie,,
12,55,Brutus,François-Marie Arouet dit Voltaire,tragédie,,
4521,50,Bérenice,,,,
1719,50,Bérénice,M. Jean Racine,tragédie,,
1146,,Caliste ou la belle pénitente,Nicholas Rowe,tragédie,,
798,56,Caïus Marcius Coriolan ou le danger d'offenser un grand homme ,Paul-Philippe  Gudin de La Brenellerie,Tragédie,,
4538,62,Charles IX ,,,,
4640,62,Charles IX ,,,,
4613,62,Charles IX ,,,,
4639,62,Charles IX ,,,,
4547,62,Charles IX ,,,,
4499,62,Charles IX ou l' Ecole des rois,M. Marie-Joseph Chénier,tragédie,,
3542,,Chazette?,,,,
3574,,Chazette?,,,,
3588,,Chazette?,,,,
3560,,Chazette?,,,,
776,63,Cinna ou la Clémence d'Auguste ,Pierre Corneille,Tragédie,,
13,63,Cinna ou la Clémence dAuguste,Pierre Corneille,tragédie,,
3457,65,Cleopatre,,,,
4049,65,Cleopatre,,,,
4045,65,Cleopatre,,,,
3788,65,Cleopatre,,,,
4042,65,Cleopatre,,,,
3273,65,Cleopatre,,,,
3791,65,Cleopatre,,,,
3453,65,Cleopatre,,,,
3795,65,Cleopatre,,,,
3266,65,Cleopatre,,,,
3269,65,Cleopatre,,,,
3450,65,Cleopatre,,,,
1484,64,Clémentine et Desorme,,,,
1085,64,Clémentine et Desorme,,,,
1088,64,Clémentine et Desormes,,,,
1504,64,Clémentine et Desormes,,,,
1502,64,Clémentine et Desormes,,,,
1501,64,Clémentine et Desormes,,,,
1500,64,Clémentine et Desormes,,,,
1499,64,Clémentine et Desormes,,,,
1495,64,Clémentine et Desormes,,,,
1494,64,Clémentine et Desormes,,,,
1493,64,Clémentine et Desormes,,,,
1491,64,Clémentine et Desormes,,,,
1490,64,Clémentine et Desormes,,,,
1488,64,Clémentine et Desormes,,,,
1487,64,Clémentine et Desormes,,,,
1486,64,Clémentine et Desormes,,,,
1087,64,Clémentine et Desormes,,,,
1089,64,Clémentine et Desormes,,,,
1091,64,Clémentine et Desormes,,,,
1092,64,Clémentine et Desormes,,,,
1094,64,Clémentine et Desormes,,,,
1095,64,Clémentine et Desormes,,,,
1096,64,Clémentine et Desormes,,,,
1100,64,Clémentine et Desormes,,,,
1101,64,Clémentine et Desormes,,,,
1102,64,Clémentine et Desormes,,,,
1103,64,Clémentine et Desormes,,,,
1106,64,Clémentine et Desormes,,,,
1134,64,Clémentine et Desormes,M. Jacques-Marie Boutet dit Monvel,drame,,
1483,64,Clémentine et Desormes par Monvel ,,,,
1084,64,Clémentine et Desormes par Monvel ,,,,
840,66,Colin Maillard ,Florent Carton dit Dancourt,Comédie,,
14,66,Colin-Maillard ,Florent Carton dit Dancourt,comédie,,
898,66,Colin-Maillard ,Florent Carton,comédie,,
1732,67,Coriolan,M. Jean-François de la Harpe,tragédie,,
1740,67,Coriolan - De la Harpe,,,,
2795,67,Coriolan - De la Harpe,,,,
2787,67,Coriolan - De la Harpe,,,,
