db,expert,id,author,title,genre ,nombre d'actes,Prologue,Prose/vers,"Musique, danse, machines",Date de création,Created,Updated
,1,4832,Billardon de Sauvigny (Edme-Louis),Abdir,drame,4 puis 3,FALSE,vers,FALSE,1785-01-26,,
,1,4833,Collet de Messine (Jean-Baptiste),Abdolonime ou le Roi berger,comédie héroïque,3,FALSE,vers,FALSE,1776-03-06,,
,1,5452,"Leblanc (Jean-Bernard, abbé)","Aben-Saïd, empereur des Mogols",tragédie,5,FALSE,vers,FALSE,06 juin 1735,,
1,,5452,Leblanc (abbé Jean-Bernard),"Aben-Saïd, empereur des Mogols",tragédie,5,FALSE,vers,FALSE,,2013-12-16 12:46:35 -0500,2013-12-16 12:46:35 -0500
,1,4834,Duché de Vancy (Joseph-François),Absalon,tragédie,5,FALSE,vers,FALSE,1712-04-07,,
,1,5536,La Grange-Chancel (François-Joseph de),Accommodement imprévu (L'),comédie,1,FALSE,vers,FALSE,12 novembre 1737,,
,1,5453,Merville (Michel Guyot de),Achille dans l'île de Scyros,comédie héroïque,3,FALSE,vers,FALSE,10 octobre 1737,,
1,,5453,Merville (Michel Guyot de),Achille dans l'île de Scyros,comédie héroïque,3,FALSE,vers,FALSE,,2013-12-16 12:46:35 -0500,2013-12-16 12:46:35 -0500
,1,5748,L'Affichard (Thomas),Acteurs déplacés ou l'Amant comédien (Les),comédie,1,TRUE,prose,TRUE,14 OCTOBRE 1735,,
,1,4835,Dorat (Claude-Joseph),Adélaïde de Hongrie,tragédie,5,FALSE,vers,FALSE,13 AOUT 1774,,
,1,4836,Voltaire (François-Marie Arouet dit),Adélaïde du Guesclin,tragédie,5,FALSE,vers,FALSE,18 JANVIER 1734,,
,1,4837,Dudoyer de Gastels (Gérard),Adélaïde ou l'Antipathie pour l'amour ,comédie,2,FALSE,vers décasyllabes,FALSE,10 JUILLET 1780,,
,1,4838,Dercy (P.),Adèle de Crécy,drame ,4,FALSE,vers,FALSE,03 MAI 1793,,
,1,4839,La Place (Pierre-Antoine de),"Adèle de Ponthieu ou Adèle, comtesse de Ponthieu",tragédie,5,FALSE,vers,FALSE,28 AVRIL 1757,,
,1,5749,Baron (Michel Boyron dit),Adelphes ou L'École des pères (Les),comédie,5,FALSE,vers,FALSE,03 JANV 1705,,
1,,5454,La Grange-Chancel (Joseph de),"Adherbal, roi de Numibie",tragédie,5,FALSE,vers,FALSE,,2013-12-16 12:46:35 -0500,2013-12-16 12:46:35 -0500
,1,5454,La Grange-Chancel (François-Joseph de),"Adherbal, roi de Numidie",tragédie,5,FALSE,vers,FALSE,08 JANV 1694,,
,1,5235,Patu (Claude-Pierre) ; Portelance (Michel),Adieux du goût (Les),comédie,1,FALSE,vers libres,TRUE,13 FEVRIER 1754,,
,1,5455,Campistron (Jean Galbert de),Adrien,tragédie,5,FALSE,vers,FALSE,11 JANV 1690,,
1,,5455,Campistron (Jean-Galbert de),Adrien,tragédie,5,FALSE,vers,FALSE,,2013-12-16 12:46:35 -0500,2013-12-16 12:46:35 -0500
,1,5456,Séguineau (Mr) ; Pralard (René),Aégiste,tragédie,5,FALSE,vers,FALSE,18 NOV 1721,,
1,,5456,Séguineau (Mr) ; Pralard (René),Aégiste,tragédie,5,FALSE,vers,FALSE,,2013-12-16 12:46:35 -0500,2013-12-16 12:46:35 -0500
,1,5457,Campistron (Jean Galbert de),Aétius,tragédie,5,FALSE,vers,FALSE,28 JANV 1693,,
1,,5457,Campistron (Jean-Galbert de),Aétius,tragédie,5,FALSE,vers,FALSE,,2013-12-16 12:46:35 -0500,2013-12-16 12:46:35 -0500
1,,5458,Quinault (Philippe),Agamemnon,tragédie,5,FALSE,vers,FALSE,,2013-12-16 12:46:35 -0500,2013-12-16 12:46:35 -0500
,1,5458,"Boyer (Claude, abbé) pseud : Pader d'Assézan",Agamemnon ou  La Mort d'Agamemnon,tragédie,5,FALSE,vers,FALSE,,,
,1,4840,Voltaire (François-Marie Arouet dit),Agathocle,tragédie,5,FALSE,vers,FALSE,31 MAI 1779,,
1,,5459,Aubry des Carrières (Jean-Baptiste),Agathocle,tragédie,5,FALSE,vers,FALSE,,2013-12-16 12:46:35 -0500,2013-12-16 12:46:35 -0500
