ext_id|etype|birth_death_years|mainrole|mainform|firstname|firstname1|formcompl|lastname|firstname2|computedform|url
7|Personne|1639-1699|Auteur|RACINE|Jean|Jean||RACINE||jean racine|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00000007&ref=BIB00036570&p=1
37|Personne|1797-1863|Auteur|VIGNY|Alfred de|Alfred de||VIGNY||alfred de vigny|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00000037&ref=BIB00036570&p=1
52|Personne|1606-1684|Auteur|CORNEILLE|Pierre|Pierre||CORNEILLE||pierre corneille|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00000052&ref=BIB00036570&p=1
57|Personne|1740-1814|Auteur|MERCIER|Louis-Sébastien|Louis-Sébastien||MERCIER||louis-sébastien mercier|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00000057&ref=BIB00036570&p=1
64|personne|1732-1799|Auteur|BEAUMARCHAIS|Pierre-Augustin Caron de|Pierre-Augustin Caron de||BEAUMARCHAIS||pierre-augustin caron de beaumarchais|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00000064&ref=BIB00036570&p=1
67|Personne|1689-07-09 / 1773-01-21|Auteur|Piron|Alexis|Alexis||Piron||alexis piron|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00000067&ref=BIB00036570&p=1
96|Personne|1622-1673|Auteur|MOLIERE|Jean-Baptiste||Jean-Baptiste Poquelin, dit|Poquelin|Jean-Baptiste|jean-baptiste poquelin|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00000096&ref=BIB00036570&p=1
169|Personne|1713-1784|Auteur|DIDEROT|Denis|Denis||DIDEROT||denis diderot|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00000169&ref=BIB00036570&p=1
196|Personne|1564-1616|Auteur|SHAKESPEARE|William|William||SHAKESPEARE||william shakespeare|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00000196&ref=BIB00036570&p=1
265|Personne|1688-1763|Auteur|MARIVAUX|Pierre de|Pierre de||MARIVAUX||pierre de marivaux|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00000265&ref=BIB00036570&p=1
284|Personne|1609-1650|Auteur|ROTROU|Jean de|Jean de||ROTROU||jean de rotrou|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00000284&ref=BIB00036570&p=1
298|Personne|1635-1688|Auteur|QUINAULT|Philippe|Philippe||QUINAULT||philippe quinault|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00000298&ref=BIB00036570&p=1
367|Personne|1783-1873|Administrateur|Védel|Alexandre-Louis|Alexandre-Louis|Poulet, dit|Védel|Alexandre-Louis|alexandre-louis védel|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00000367&ref=BIB00036570&p=1
576|Personne|1707-1793|Auteur|GOLDONI|Carlo|Carlo||GOLDONI||carlo goldoni|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00000576&ref=BIB00036570&p=1
709|Personne|1680-1754|Auteur|DESTOUCHES|Philippe Néricault|Philippe Néricault||DESTOUCHES|Philippe|philippe néricault destouches|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00000709&ref=BIB00036570&p=1
715|Personne|1655-1709|Auteur|REGNARD|Jean-François|Jean-François||REGNARD||jean-françois regnard|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00000715&ref=BIB00036570&p=1
886|Personne|1789-1879|Administrateur général|Taylor|Isidore-Justin-Séverin|Isidore-Justin-Séverin|Baron|Taylor||isidore-justin-séverin taylor|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00000886&ref=BIB00036570&p=1
944|Personne|1694-1778|Auteur|VOLTAIRE|François Marie|||Arouet|François Marie|françois marie arouet|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00000944&ref=BIB00036570&p=1
1180|Personne|1797-1863|Administrateur|Jouslin de la Salle|Armand-François|Armand-François||Jouslin de la Salle||armand-françois jouslin de la salle|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00001180&ref=BIB00036570&p=1
1201|Personne|1621-1695|Auteur|LA FONTAINE|Jean de|Jean de||LA FONTAINE||jean de la fontaine|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00001201&ref=BIB00036570&p=1
1309|Personne|1799-1850|Auteur|BALZAC|Honoré de|Honoré de||BALZAC||honoré de balzac|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00001309&ref=BIB00036570&p=1
1374|Personne|1794-1852|Administrateur|Cavé|Hygin-Auguste|Hygin-Auguste|dit Edmond|Cavé||hygin-auguste cavé|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00001374&ref=BIB00036570&p=1
1475|Personne|1791-1861|Auteur|SCRIBE|Eugène|Eugène||SCRIBE||eugène scribe|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00001475&ref=BIB00036570&p=1
1601|Personne|1791-1833|Auteur|Hérold|Ferdinand|Ferdinand||Hérold||ferdinand hérold|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00001601&ref=BIB00036570&p=1
1648|Personne|1789-1854|Auteur|VARNER|François-Antoine|François-Antoine||VARNER||françois-antoine varner|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00001648&ref=BIB00036570&p=1
2669|Personne|1793-1871|Comédien|SAMSON|Joseph-Isidore|Joseph-Isidore||SAMSON||joseph-isidore samson|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00002669&ref=BIB00036570&p=1
2672|Personne|1638-1701|Auteur|BOURSAULT|Edme|Edme||BOURSAULT||edme boursault|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00002672&ref=BIB00036570&p=1
